,번호,제목,글쓴이,날짜,조회수,링크
574,562,2015학년도 2학기 5·18기념재단 장학생 선발 안내,행정실,2015-07-16,5823,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7172&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
575,561,2015학년도 2학기 (재)서울장학재단 H-JUMP SCHOOL 제3기 장학생 선발 안내,행정실,2015-07-16,6101,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7171&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
576,560,고시장학A 신청 안내,행정실,2015-07-16,6316,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7170&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
577,559,2015학년도 2학기 정읍시민장학재단 장학생 선발안내,행정실,2015-07-16,5664,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7167&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
578,558,2015학년도 2학기 (재)KSD나눔재단 대학장학생 선발 안내,행정실,2015-07-15,5545,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7162&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
579,557,2015년도 2학기 농어촌희망누리 대학장학생 선발 안내,행정실,2015-07-08,5727,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7152&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
580,556,2015년도 해외유학장학생 및 중국유학장학생 선발 안내,행정실,2015-06-29,5540,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7139&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
581,555,2015년 인문100년장학금 전공탐색유형(신입생) 신규장학생 신청 안내,행정실,2015-06-18,5855,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7120&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
582,554,2015년 미래경영아카데미 장학생 선발 공고,행정실,2015-06-15,6715,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7109&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
583,553,2015학년도 2학기 소나무장학회‘소나무장학금’3기 장학생 선발 홍보 의뢰,행정실,2015-06-12,5799,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7102&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
584,552,2015학년도 하계방학 근로장학생 신청~ 06. 23(화),행정실,2015-06-11,5830,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7100&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=39
585,551,2015년 하반기 삼성드림클래스 대학생 강사 선발 안내,행정실,2015-06-10,5804,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7093&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
586,550,2015학년도 1학기 서울캠퍼스 동행장학금 신청 안내(기간연장),행정실,2015-06-03,5612,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7063&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
587,549,삼성드림클래스 2015년 여름캠프 대학생강사 선발 안내,행정실,2015-06-01,5928,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=7056&sca=%EC%9E%A5%ED%95%99%EC%95%88%EB%82%B4&page=40
