,번호,제목,글쓴이,날짜,조회수,링크
57,126,2017학년도 2학기 외국인 학업장려 장학생 신청 공고(2017 Fall Semester Scholarshi…,행정실,2017-11-22,382,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10421&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
58,125,2017학년도 동계 경영대학 전공연수 프로그램 참가자 모집 공고(일본: 기간연장),행정실,2017-11-17,1392,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10415&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
59,124,"2016학년도 동계 경영대학 전공연수 프로그램 후기 공유(호주Griffith, 일본Ritsumeikan)",행정실,2017-11-01,626,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10406&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=4
60,123,2017학년도 동계 경영대학 전공연수 프로그램 참가자 모집 공고,행정실,2017-11-01,1751,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10405&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
61,122,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 2차 (기간연장),행정실,2017-10-23,962,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10404&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
62,121,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (기간연장),행정실,2017-10-20,705,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10403&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
63,120,2017학년도 1학기 자체파견 교환학생 귀국보고서 후기 공유,행정실,2017-10-16,543,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10402&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
64,119,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (2차),행정실,2017-10-16,587,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10401&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
65,118,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (1차),행정실,2017-10-13,721,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10400&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
66,117,2017학년도 1학기 자체파견 교환학생 귀국보고서 후기 공유,행정실,2017-10-16,377,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10399&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
67,116,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (2차),행정실,2017-10-16,461,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10398&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
68,115,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (1차),행정실,2017-10-13,804,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10397&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
69,114,2017年度第二学期外国留学学生座谈会,행정실,2017-09-29,515,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10009&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
70,113,2017 Fall Semester: International Student Conference,행정실,2017-09-29,750,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10008&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
71,112,2017학년도 2학기 경영대학 외국인유학생 간담회 개최 안내,행정실,2017-09-29,476,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10007&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
72,111,2017학년도 2학기 경영대학 유학생회 신입생 안내책자: 新生入学手册,행정실,2017-09-14,237,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=10006&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
73,110,"2016학년도 동계 경영대학 전공연수 프로그램 후기 공유(호주Griffith, 일본Ritsumeikan)",행정실,2017-11-01,274,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9458&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
74,109,2017학년도 동계 경영대학 전공연수 프로그램 참가자 모집 공고,행정실,2017-11-01,1209,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9457&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=5
75,108,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 2차 (기간연장),행정실,2017-10-23,364,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9456&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
76,107,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (기간연장),행정실,2017-10-20,323,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9455&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
77,106,2017학년도 1학기 자체파견 교환학생 귀국보고서 후기 공유,행정실,2017-10-16,286,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9454&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
78,105,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (2차),행정실,2017-10-16,249,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9453&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
79,104,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (1차),행정실,2017-10-13,386,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9452&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
80,103,2017학년도 1학기 자체파견 교환학생 귀국보고서 후기 공유,행정실,2017-10-16,164,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9451&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
81,102,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (2차),행정실,2017-10-16,205,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9450&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
82,101,2018학년도 1학기 경영대학 자체파견 교환학생 선발 공고 (1차),행정실,2017-10-13,417,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9449&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
83,100,2017年度第二学期外国留学学生座谈会,행정실,2017-09-29,252,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9448&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
84,99,2017 Fall Semester: International Student Conference,행정실,2017-09-29,490,http://kbiz.khu.ac.kr/board5/bbs/board.php?bo_table=05_04_01&wr_id=9447&sca=%EA%B5%AD%EC%A0%9C%EA%B5%90%EB%A5%98&page=6
